Nombre,ISIN,Rent Total 1 Día,Rent Total 1 Semana,Rent Total 1 Mes,Rent Total 3 Meses,Rent Total 6 Meses,Rent Total Año,Rent Total 1 Año,Rent Total 3 Años,Rent Total 5 Años,Rent Total 10 Años
iShares MSCI Wld ESG Enh CTB ETF NZDHAcc,IE000X08RX14,"0,64 %","1,84 %","2,65 %","6,38 %","21,01 %","14,16 %","15,78 %","19,75 %",—,—
iShares MSCI Wld ESG Enh CTB ETF USD Acc,IE00BHZPJ569,"0,83 %","2,37 %","2,16 %","5,99 %","22,80 %","17,77 %","18,19 %","21,57 %","13,10 %",—
iShares MSCI Wld ESG Enh CTB ETF USDDist,IE00BG11HV38,"1,02 %","2,41 %","2,32 %","6,05 %","22,22 %","17,05 %","18,36 %","21,61 %","13,17 %",—
iShares MSCI Wld Fi Sec Advcd ETF USDInc,IE00BJ5JP097,"1,00 %","2,20 %","−0,53 %","1,00 %","15,61 %","21,90 %","24,30 %","24,94 %",—,—
iShares MSCI Wld HlthCrSect AdvcdETF$Inc,IE00BJ5JNZ06,"0,47 %","1,78 %","6,60 %","6,50 %","8,22 %","10,02 %","0,40 %","5,80 %","5,83 %",—
iShares MSCI Wld Indstr SctrAdvcdETF$Inc,IE00BJ5JP659,"1,25 %","2,56 %","2,08 %","1,59 %","19,05 %","19,10 %","15,85 %","22,77 %",—,—
iShares MSCI Wld Matrls SctrAdvcdETF$Inc,IE00BJ5JP766,"0,00 %","−0,60 %","−0,06 %","1,95 %","12,38 %","16,93 %","7,29 %","11,12 %",—,—
iShares MSCI Wld Md-Cp Eq Wgt UCITS ETF,IE00BP3QZD73,"0,78 %","2,32 %","1,28 %","2,75 %","16,52 %","19,31 %","17,34 %","17,25 %","9,05 %","7,62 %"
iShares MSCI Wld Momt Fac AdvcdETFUSDAcc,IE000L5NW549,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",—,—
iShares MSCI Wld Paris-Algnd ClmtETF$Acc,IE00BMXC7W70,"0,82 %","2,44 %","2,69 %","6,69 %","23,64 %","16,93 %","17,53 %","22,56 %",—,—
iShares MSCI Wld Sm Cp ESG EnhCTBETF$Acc,IE000T9EOCL3,"1,32 %","2,84 %","1,89 %","6,49 %","23,33 %","17,01 %","17,02 %","15,75 %",—,—
iShares MSCI Wld Utlts Sct Advcd ETF$Acc,IE000A89Y2G7,"0,00 %","0,00 %","4,95 %","6,05 %",—,—,—,—,—,—
iShares MSCI Wld Val Fac Advcd ETFUSDAcc,IE000H1H16W5,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","0,00 %",—,—
iShares MSCI WldCnsmrStpSectAdvcdETF$Inc,IE00BJ5JP329,"−0,99 %","−0,30 %","2,72 %","−0,00 %","0,75 %","7,28 %","2,81 %","7,46 %","4,93 %",—
iShares MSCI WldCommSvcsSectAdvcdETF$Inc,IE00BJ5JP436,"0,77 %","1,46 %","0,52 %","11,94 %","31,39 %","26,65 %","38,33 %","29,94 %",—,—
iShares MSCI WldInfoTechSectAdvcdETF$Inc,IE00BJ5JNY98,"1,55 %","3,96 %","4,68 %","10,95 %","39,64 %","23,45 %","26,14 %","36,97 %","19,64 %",—
iShares MSCI WldQualDiv Advcd ETF USDAcc,IE00BKPSFC54,"0,58 %","1,89 %","2,85 %","5,11 %","17,40 %","19,43 %","14,56 %","18,97 %","12,51 %",—
iShares MSCI WldQualDiv Advcd ETFUSDDist,IE00BYYHSQ67,"0,63 %","1,87 %","2,85 %","4,19 %","16,45 %","18,10 %","13,57 %","18,58 %","12,33 %",—
iShares MSCI World CHF Hedged ETF Acc,IE00B8BVCK12,"1,00 %","2,66 %","2,22 %","5,71 %","20,36 %","12,86 %","13,66 %","16,58 %","11,21 %","8,89 %"
iShares MSCI World ETF USD Dist,IE00B0M62Q58,"0,97 %","2,43 %","2,25 %","6,26 %","23,03 %","18,44 %","19,44 %","22,31 %","13,97 %","11,55 %"
iShares MSCI World EUR Hedged ETF Acc,IE00B441G979,"1,00 %","2,57 %","2,39 %","6,34 %","21,72 %","14,72 %","16,59 %","19,21 %","12,88 %","9,94 %"
iShares MSCI World ex-USA ETF USD Acc,IE000R4ZNTN3,"0,39 %","1,41 %","2,53 %","4,87 %","17,12 %",—,—,—,—,—
iShares MSCI World GBP Hedged ETF Acc,IE00B42YS929,"0,95 %","2,58 %","2,45 %","6,86 %","23,17 %","16,57 %","18,79 %","20,88 %","14,11 %","10,83 %"
iShares MSCI World Islamic ETF USD Dist,IE00B27YCN58,"0,90 %","2,55 %","3,93 %","8,08 %","25,20 %","18,13 %","17,02 %","17,89 %","12,76 %","9,34 %"
iShares MSCI World Qul Fac Advcd ETF$Acc,IE000U1MQKJ2,"0,89 %","2,03 %","3,31 %","4,80 %","18,78 %","14,44 %","11,68 %",—,—,—
iShares MSCI World Scrn ETF USD Acc,IE00BFNM3J75,"0,98 %","2,47 %","2,40 %","6,57 %","24,31 %","18,58 %","20,51 %","23,79 %","14,63 %",—
iShares MSCI World Small Cap ETF USD Acc,IE00BF4RFH31,"0,97 %","2,68 %","1,93 %","6,74 %","24,17 %","18,39 %","18,30 %","16,78 %","10,40 %",—
iShares MSCI World SRI ETF EUR Acc,IE00BYX2JD69,"0,79 %","2,14 %","3,49 %","6,29 %","17,35 %","1,89 %","6,06 %","12,87 %","11,98 %",—
iShares MSCI World SRI ETF EUR H Dis,IE00BMZ17W23,"0,88 %","3,03 %","2,70 %","5,13 %","19,00 %","10,90 %","11,07 %","16,16 %","10,74 %",—
iShares MSCI World SRI ETF GBP H Dis,IE00BMZ17T93,"0,92 %","1,97 %","2,59 %","5,69 %","20,43 %","11,34 %","13,42 %","18,01 %","12,04 %",—
iShares MSCI World SRI ETF USD Dist,IE00BDZZTM54,"0,96 %","1,86 %","2,56 %","4,82 %","20,14 %","13,91 %","14,08 %","19,18 %","11,59 %",—
iShares MSCI World SRI ETF USD H Dis,IE00BMZ17X30,"0,52 %","1,63 %","2,50 %","5,41 %","20,16 %","12,44 %","13,24 %","18,79 %","13,09 %",—
iShares MSCI World Swap ETF EUR Hdg Acc,IE0002VEN3U3,"0,97 %","2,64 %","2,53 %","5,88 %",—,—,—,—,—,—
iShares MSCI World Swap ETF USD Acc,IE000F9IDGB5,"1,33 %","2,44 %","2,29 %","6,31 %","24,23 %","19,43 %","19,92 %",—,—,—
iShares MSCI World Swap PEA ETF,IE0002XZSHO1,"0,77 %","2,75 %","3,25 %","7,62 %","20,24 %","6,00 %","11,11 %",—,—,—
iShares MSCIWldCnsmrDiscSectAdvcdETF$Inc,IE00BJ5JP212,"0,00 %","1,52 %","−1,13 %","4,74 %","18,66 %","5,19 %","14,41 %","17,39 %","8,15 %",—
iShares NASDAQ 100 ETF EUR Hdg Acc,IE00BYVQ9F29,"1,42 %","3,44 %","3,25 %","8,76 %","31,80 %","17,94 %","23,89 %","28,40 %","14,86 %",—
iShares NASDAQ 100 ETF USD Acc,IE00B53SZB19,"1,44 %","3,49 %","3,44 %","9,32 %","33,30 %","19,86 %","25,98 %","31,38 %","17,36 %","19,18 %"
iShares Nasdaq 100 ex-Top 30 ETF USD Acc,IE000SVXJH05,"1,17 %","3,01 %","3,69 %","6,04 %","22,09 %",—,—,—,—,—
iShares NASDAQ 100 Swap ETF USD Acc,IE0001ZFMLN7,"1,43 %","3,34 %","3,41 %","9,40 %","33,66 %","20,31 %","25,90 %",—,—,—
iShares Nasdaq 100 Top 30 ETF USD Acc,IE000Z7P04F4,"1,51 %","3,42 %","3,52 %","11,76 %","37,59 %",—,—,—,—,—
iShares Nasdaq US Biotech ETF USD Acc,IE00BYXG2H39,"1,00 %","1,27 %","8,45 %","14,17 %","25,47 %","21,15 %","10,68 %","10,68 %","4,41 %",—
iShares Nikkei 225 ETF JPY Acc,IE00B52MJD48,"1,16 %","2,70 %","8,73 %","19,34 %","40,63 %","25,67 %","31,57 %","23,72 %","17,40 %","11,35 %"
iShares Nuclear Engy and UrnumMngETF$Acc,IE000BMZP0I6,"1,60 %","1,14 %","4,30 %","8,59 %",—,—,—,—,—,—
iShares Oil & Gas Explr&Prod ETF USD Acc,IE00B6R51Z18,"−0,06 %","4,43 %","−3,43 %","−1,23 %","7,92 %","1,52 %","−0,54 %","−1,05 %","24,62 %","4,03 %"
iShares OMX Stockholm Capped ETF,IE00BD3RYZ16,"1,05 %","3,31 %","5,78 %","6,06 %","14,58 %","11,24 %","7,69 %","14,97 %","10,14 %",—
iShares Pfandbriefe ETF (DE),DE0002635265,"−0,03 %","−0,07 %","0,70 %","1,00 %","1,15 %","2,76 %","2,94 %","3,55 %","−1,14 %","−0,05 %"
iShares Russell 1000 Growth ETF USD Acc,IE000NITTFF2,"1,32 %","3,32 %","2,43 %","9,15 %","34,59 %","17,77 %","26,11 %",—,—,—
iShares Russell 1000 Value ETF USD Acc,IE0002EKOXU6,"1,08 %","2,35 %","1,92 %","4,70 %","15,84 %","13,31 %","10,00 %",—,—,—
iShares Russell 2000 Swap ETF EUR HAcc,IE000OYABFQ2,"2,26 %","3,44 %","2,71 %","10,86 %","29,48 %",—,—,—,—,—
iShares Russell 2000 Swap ETF USD Acc,IE0007O06KL9,"0,00 %","0,49 %","−0,04 %","8,49 %","27,42 %","10,47 %","13,76 %",—,—,—
iShares S&P 500 3% Capped ETF USD Acc,IE000YIXESS9,"1,40 %","2,65 %","1,64 %","6,32 %","26,36 %",—,—,—,—,—
iShares S&P 500 CHF Hedged ETF Acc,IE00B88DZ566,"1,31 %","2,97 %","2,08 %","5,72 %","22,22 %","11,91 %","13,10 %","17,62 %","11,73 %","10,56 %"
iShares S&P 500 Cnsmr Discr Sect ETF$Acc,IE00B4MCHD36,"1,15 %","2,93 %","−0,18 %","7,01 %","25,40 %","5,39 %","22,55 %","21,32 %","10,36 %",—
iShares S&P 500 Cnsmr Stpls Sect ETF$Acc,IE00B40B8R38,"0,13 %","−0,13 %","1,24 %","−0,53 %","0,11 %","5,08 %","2,48 %","8,93 %","7,83 %",—
iShares S&P 500 Comm Sect ETF USD Acc,IE00BDDRF478,"0,49 %","0,34 %","−1,92 %","7,46 %","26,38 %","21,45 %","33,42 %","35,36 %","15,78 %",—
iShares S&P 500 Energy Sect ETF USD Acc,IE00B42NKQ00,"−0,24 %","3,26 %","−2,34 %","2,85 %","9,44 %","7,05 %","1,21 %","3,37 %","28,15 %",—
iShares S&P 500 Equal Weight ETF USD Acc,IE000MLMNYS0,"0,95 %","2,39 %","1,64 %","2,76 %","15,84 %","10,55 %","8,60 %","14,36 %",—,—
iShares S&P 500 Equal Weight ETF £ H Acc,IE0003WV2ME7,"0,93 %","2,45 %","1,64 %","2,55 %","15,54 %","10,26 %","8,28 %","13,28 %",—,—
iShares S&P 500 Equal Weight ETF € H Acc,IE000DVLBQ03,"0,90 %","2,54 %","1,47 %","2,09 %",—,—,—,—,—,—
iShares S&P 500 EUR Hedged ETF Acc,IE00B3ZW0K18,"1,19 %","2,80 %","2,20 %","6,33 %","23,82 %","13,65 %","16,03 %","20,32 %","13,37 %","11,63 %"
iShares S&P 500 Financials Sect ETF $Acc,IE00B4JNQZ49,"1,53 %","2,40 %","−0,98 %","−0,06 %","11,40 %","10,65 %","14,44 %","19,54 %","17,77 %",—
iShares S&P 500 GBP Hedged ETF Acc,IE00B3Y8X563,"1,12 %","2,82 %","2,34 %","6,86 %","25,04 %","15,58 %","18,22 %","21,95 %","14,61 %","12,52 %"
iShares S&P 500 Health Care Sect ETF$Acc,IE00B43HR379,"0,65 %","2,90 %","7,24 %","8,09 %","7,99 %","7,59 %","−1,10 %","5,83 %","7,70 %",—
iShares S&P 500 Health Care SectETF€HDis,IE00BMBKBZ46,"0,71 %","2,92 %","7,17 %","7,33 %","6,45 %","5,88 %","−3,35 %","3,37 %","5,37 %",—
iShares S&P 500 Indstr Sect ETF USD Acc,IE00B4LN9N13,"0,85 %","2,81 %","1,63 %","1,24 %","22,25 %","18,27 %","15,71 %","21,70 %","15,38 %",—
iShares S&P 500 Info Tech Sect ETF$Acc,IE00B3WJKG14,"1,65 %","4,04 %","4,71 %","12,23 %","46,06 %","23,95 %","29,23 %","39,40 %","23,56 %",—
iShares S&P 500 Matrls Sect ETF USD Acc,IE00B4MKCJ84,"0,27 %","1,24 %","−1,09 %","−1,28 %","9,28 %","8,10 %","−3,82 %","9,10 %","8,09 %",—
iShares S&P 500 Paris-Algnd Clmt ETF$Acc,IE00BMXC7V63,"1,01 %","2,48 %","2,05 %","6,40 %","24,47 %","13,75 %","16,43 %","23,90 %",—,—
iShares S&P 500 Paris-Algnd ClmtETF$Dist,IE000G4PH2B1,"1,02 %","2,51 %","2,08 %","5,91 %","23,95 %","13,00 %","15,91 %","23,30 %",—,—
iShares S&P 500 Scrd & Scrn ETF EUR HAcc,IE000CR7DJI8,"1,03 %","2,99 %","2,71 %","7,05 %","25,15 %","13,27 %","14,52 %","20,06 %",—,—
iShares S&P 500 Scrd & Scrn ETF USD Acc,IE000R9FA4A0,"1,06 %","2,94 %","2,87 %","7,70 %","26,84 %","15,17 %","16,65 %","22,92 %",—,—
iShares S&P 500 Swap ETF EUR Hgd Acc,IE000Z3S26J2,"1,19 %","2,88 %","2,14 %","6,33 %","24,05 %","14,13 %","16,32 %",—,—,—
iShares S&P 500 Swap ETF USD Acc,IE00BMTX1Y45,"1,12 %","2,78 %","2,32 %","6,91 %","25,67 %","15,83 %","18,54 %","23,39 %","16,15 %",—
iShares S&P 500 Swap PEA ETF EUR Acc,IE000DQLYVB9,"0,99 %","3,13 %","3,28 %","8,23 %",—,—,—,—,—,—
iShares S&P 500 Top 20 ETF USD Acc,IE000VA628D5,"1,20 %","2,97 %","2,46 %","10,28 %","35,05 %","17,11 %",—,—,—,—
iShares S&P 500 Utilts Sect ETF USD Acc,IE00B4KBBD01,"1,64 %","0,09 %","6,58 %","8,60 %","18,13 %","22,37 %","14,16 %","15,86 %","9,88 %",—
iShares S&P Mid Cap 400 Swap ETF USD Acc,IE000H444PH5,"0,00 %","1,17 %","−0,73 %","5,29 %",—,—,—,—,—,—
iShares S&P SmallCap 600 ETF USD Dist,IE00B2QWCY14,"1,78 %","3,71 %","2,07 %","7,88 %","23,43 %","5,71 %","7,64 %","10,78 %","10,88 %","9,07 %"
iShares S&P U.S. Banks ETF,IE00BD3V0B10,"2,31 %","4,25 %","−3,79 %","−0,77 %","22,37 %","9,26 %","14,78 %","10,15 %","13,41 %",—
iShares S&P U.S. Banks ETF USD Inc,IE000ZPUEP93,"0,00 %","2,10 %","−5,85 %","−2,39 %","19,56 %","7,77 %","13,52 %","9,34 %",—,—
iShares SLI ETF (CH),CH0031768937,"0,14 %","0,46 %","3,98 %","2,31 %","6,55 %","9,94 %","5,66 %","11,20 %","8,06 %","6,70 %"
iShares SLI ETF (DE),DE0005933964,"0,16 %","0,44 %","3,90 %","2,13 %","6,33 %","8,90 %","4,57 %","10,60 %","7,38 %","6,32 %"
iShares Smart City Infra ETF USD Acc,IE00BKTLJC87,"0,74 %","2,48 %","2,47 %","5,01 %","21,64 %","21,26 %","18,87 %","20,10 %","11,33 %",—
iShares Smart City Infra ETF USD Inc,IE00BKTLJB70,"1,24 %","3,00 %","3,20 %","5,63 %","22,40 %","21,80 %","19,45 %","20,26 %","11,45 %",—
iShares SMI ETF (CH),CH0008899764,"0,18 %","−0,56 %","4,98 %","4,42 %","5,71 %","11,53 %","6,16 %","8,76 %","7,30 %","6,15 %"
iShares SMIM ETF (CH),CH0019852802,"0,47 %","1,69 %","1,98 %","−1,36 %","11,84 %","11,98 %","8,60 %","8,14 %","3,54 %","6,17 %"
iShares Spain Govt Bond ETF EUR Dist,IE00B428Z604,"−0,40 %","−0,37 %","1,06 %","1,41 %","0,85 %","1,87 %","1,81 %","3,48 %","−2,08 %","0,71 %"
iShares Spain Govt Bond ETF USD H Acc,IE00BFMM8Y81,"−0,29 %","−0,24 %","1,30 %","1,95 %","1,98 %","3,36 %","3,84 %","5,50 %","−0,43 %",—
iShares STOXX Europe 50 (DE),DE0005933949,"−0,08 %","0,81 %","4,30 %","5,72 %","11,32 %","14,18 %","10,54 %","14,23 %","13,59 %","6,96 %"
iShares STOXX Europe 50 ETF EUR Dist,IE0008470928,"−0,17 %","0,79 %","4,12 %","5,91 %","11,40 %","13,59 %","10,60 %","14,36 %","13,67 %","7,04 %"
iShares STOXX Europe 600 (DE) Dist,DE0002635307,"0,23 %","1,67 %","4,07 %","4,76 %","12,61 %","16,95 %","14,31 %","15,97 %","12,72 %","7,26 %"
iShares STOXX Europe 600 Auto&P (DE) dis,DE000A0Q4R28,"1,44 %","2,83 %","−2,59 %","−6,65 %","0,29 %","−4,82 %","−7,43 %","3,61 %","6,03 %","2,28 %"
iShares STOXX Europe 600 Banks (DE),DE000A0F5UJ7,"0,13 %","1,61 %","−1,51 %","6,67 %","24,51 %","50,88 %","56,77 %","40,78 %","34,55 %","8,73 %"
iShares STOXX Europe 600 Bas Res (DE),DE000A0F5UK5,"0,22 %","3,01 %","7,94 %","15,32 %","24,52 %","16,76 %","10,52 %","4,89 %","12,28 %","10,58 %"
iShares STOXX Europe 600 Chemicals (DE),DE000A0H08E0,"0,17 %","0,68 %","3,24 %","−3,28 %","−2,03 %","1,58 %","−6,25 %","3,67 %","4,54 %","5,40 %"
iShares STOXX Europe 600 Cnstr & M (DE),DE000A0H08F7,"0,62 %","2,41 %","4,57 %","0,53 %","12,33 %","21,94 %","20,80 %","23,01 %","14,99 %","10,40 %"
iShares STOXX Europe 600 Fin Ser (DE),DE000A0H08G5,"1,21 %","3,75 %","2,91 %","−1,05 %","6,62 %","8,39 %","8,88 %","19,84 %","12,54 %","9,29 %"
iShares STOXX Europe 600 Food&Bev (DE),DE000A0H08H3,"−0,73 %","−1,96 %","7,51 %","0,36 %","−5,00 %","3,10 %","−6,79 %","−2,43 %","0,64 %","1,63 %"
iShares STOXX Europe 600 HealthCare (DE),DE000A0Q4R36,"0,13 %","0,05 %","6,83 %","5,05 %","8,75 %","3,01 %","−6,83 %","6,49 %","6,62 %","5,19 %"
iShares STOXX Europe 600 IG & Ser (DE),DE000A0H08J9,"0,63 %","3,56 %","3,24 %","5,08 %","22,01 %","26,53 %","25,28 %","23,70 %","15,59 %","11,50 %"
iShares STOXX Europe 600 Insurance (DE),DE000A0H08K7,"0,32 %","1,91 %","2,55 %","1,12 %","5,64 %","23,53 %","24,95 %","23,73 %","20,46 %","9,87 %"
iShares STOXX Europe 600 Media (DE),DE000A0H08L5,"0,13 %","1,17 %","3,50 %","−6,79 %","−5,78 %","−9,56 %","−9,43 %","11,62 %","13,54 %","5,46 %"
iShares STOXX Europe 600 Oil & Gas (DE),DE000A0H08M3,"0,58 %","4,54 %","3,62 %","7,29 %","23,32 %","23,41 %","20,86 %","10,77 %","21,16 %","7,59 %"
iShares STOXX Europe 600 Real Est (DE),DE000A0Q4R44,"−0,22 %","2,62 %","5,76 %","2,19 %","4,32 %","8,19 %","0,06 %","9,64 %","−0,37 %","−1,12 %"
iShares STOXX Europe 600 Retail (DE),DE000A0H08P6,"1,04 %","2,65 %","6,30 %","8,90 %","7,80 %","8,59 %","1,23 %","24,43 %","6,92 %","4,62 %"
iShares STOXX Europe 600 Tech (DE) dis,DE000A0H08Q4,"0,30 %","2,16 %","4,89 %","6,35 %","14,11 %","7,98 %","10,49 %","17,73 %","9,52 %","10,48 %"
iShares STOXX Europe 600 Telecom (DE),DE000A0H08R2,"−0,22 %","−0,18 %","5,42 %","1,68 %","4,00 %","17,51 %","14,58 %","15,60 %","9,56 %","0,76 %"
iShares STOXX Europe 600 Trav & Leis(DE),DE000A0H08S0,"1,58 %","1,80 %","1,14 %","−3,51 %","16,02 %","0,82 %","2,79 %","13,80 %","8,31 %","1,58 %"
iShares STOXX Europe 600 Utilities (DE),DE000A0Q4R02,"0,04 %","0,42 %","7,99 %","6,86 %","12,84 %","28,56 %","20,28 %","17,86 %","10,05 %","8,37 %"
iShares STOXX Europe Large 200 (DE),DE0005933980,"0,32 %","1,35 %","4,04 %","5,13 %","12,29 %","16,94 %","13,79 %","16,11 %","13,73 %","7,53 %"
iShares STOXX Europe Mid 200 (DE),DE0005933998,"−0,18 %","2,67 %","3,49 %","2,68 %","13,77 %","18,96 %","17,00 %","16,26 %","9,71 %","6,51 %"
iShares STOXX Europe Sel Div 30 (DE),DE0002635299,"0,00 %","2,17 %","1,67 %","3,70 %","15,77 %","33,84 %","33,22 %","18,82 %","15,76 %","7,68 %"
iShares STOXX Europe Small 200 (DE),DE000A0D8QZ7,"0,31 %","2,25 %","3,61 %","2,16 %","13,55 %","15,54 %","11,92 %","13,33 %","7,30 %","5,80 %"
iShares STOXX Eurp 600 P & H Goods (DE),DE000A0H08N1,"−0,47 %","0,51 %","7,71 %","7,62 %","7,57 %","5,03 %","6,79 %","8,07 %","6,42 %","5,26 %"
iShares STOXX Global Sel Div 100 (DE),DE000A0F5UH1,"0,39 %","2,21 %","2,21 %","5,14 %","16,27 %","14,42 %","14,35 %","12,67 %","13,22 %","6,95 %"
iShares STOXX USA EqMtftUCITS ETF USDAcc,IE00BZ0PKS76,"1,19 %","3,42 %","1,88 %","7,13 %","24,56 %","16,63 %","18,21 %","19,40 %","13,82 %","11,44 %"
iShares STOXX Wd EqMtftUCITS ETF CHFHAcc,IE00BF450720,"0,00 %","2,04 %","0,83 %","5,88 %","20,50 %","15,45 %","15,42 %","14,95 %","10,39 %",—
iShares STOXX Wd EqMtftUCITS ETF USDAcc,IE00BZ0PKT83,"1,01 %","2,80 %","1,90 %","6,02 %","22,52 %","22,36 %","22,30 %","20,07 %","13,03 %","10,17 %"
iShares STOXX Wd EqMtftUCITS ETF €HAcc,IE00BYXPXK00,"1,19 %","2,78 %","2,15 %","6,14 %","21,81 %","18,40 %","19,12 %","17,31 %","11,88 %",—
iShares STOXX €ope EqMltfctUCITS ETF€Acc,IE00BZ0PKV06,"−0,29 %","0,88 %","2,99 %","3,73 %","11,31 %","15,84 %","14,46 %","18,20 %","12,83 %","7,85 %"
iShares Swiss Dividend ETF (CH),CH0237935637,"0,30 %","−0,15 %","5,50 %","4,02 %","4,94 %","13,92 %","9,67 %","11,46 %","11,40 %","9,02 %"
iShares Swiss Dom Govt Bd 0-3 ETF (CH),CH0102530786,"−0,02 %","−0,02 %","0,16 %","0,30 %","0,04 %","0,11 %","0,63 %","0,75 %","−0,25 %","−0,63 %"
iShares Swiss Dom Govt Bd 3-7 ETF (CH),CH0016999846,"−0,26 %","−0,08 %","0,02 %","1,02 %","0,67 %","0,62 %","1,98 %","1,96 %","−0,48 %","−0,53 %"
iShares Swiss Dom Govt Bd 7-15 ETF (CH),CH0016999861,"−0,24 %","0,00 %","0,58 %","3,07 %","2,74 %","1,90 %","3,27 %","4,12 %","−0,61 %","−0,02 %"
iShares TecDAX® ETF (DE),DE0005933972,"−0,30 %","2,04 %","1,99 %","−3,63 %","3,65 %","8,53 %","8,42 %","9,64 %","3,56 %","6,86 %"
iShares TecDAX® ETF (DE) Dist,DE000A2QP323,"−0,35 %","1,92 %","1,97 %","−3,66 %","3,62 %","8,49 %","8,50 %","9,60 %",—,—
iShares U.S. Equity Hi Inc Actv ETF $Acc,IE0007FM00T9,"0,00 %","0,00 %","1,14 %","6,07 %","21,68 %","8,04 %","11,04 %",—,—,—
iShares U.S. Equity Hi Inc Actv ETF $Inc,IE000WHL2ZK1,"0,92 %","2,28 %","1,54 %","6,02 %","20,05 %","11,09 %","11,83 %",—,—,—
iShares UK Dividend ETF GBP Dist,IE00B0M63060,"0,64 %","3,46 %","4,73 %","4,70 %","15,80 %","24,39 %","23,88 %","17,10 %","16,07 %","4,99 %"
iShares UK Gilts 0-5yr ETF GBP Dist,IE00B4WXJK79,"−0,12 %","0,19 %","0,72 %","1,08 %","1,97 %","4,31 %","4,52 %","3,94 %","0,98 %","0,93 %"
iShares UK Gilts 0-5yr ETF MXN H Acc,IE00BMVJSD83,"0,00 %","0,00 %","0,00 %","0,00 %","0,00 %","21,46 %","21,46 %","8,62 %","7,21 %",—
iShares UK Property ETF EUR H Acc,IE000FI414K7,"0,14 %","4,95 %","7,33 %","2,81 %","4,01 %","9,52 %","−3,04 %","2,80 %",—,—
iShares UK Property ETF GBP Dist,IE00B1TXLS18,"0,10 %","4,84 %","7,53 %","3,65 %","5,56 %","10,41 %","−0,81 %","4,28 %","0,40 %","−1,70 %"
iShares US Aggregate Bond ETF EUR H Acc,IE00BDFJYM28,"−0,10 %","0,00 %","0,94 %","3,03 %","3,49 %","4,97 %","3,78 %","3,63 %","−2,22 %",—
iShares US Aggregate Bond ETF EUR H Dis,IE00093SKUY4,"−0,04 %","0,09 %","1,01 %","3,10 %","3,73 %","5,37 %","3,90 %",—,—,—
iShares US Aggregate Bond ETF USD Dist,IE00B44CGS96,"0,00 %","0,17 %","1,08 %","3,72 %","4,93 %","6,94 %","6,07 %","5,98 %","−0,41 %","1,64 %"
iShares US Eq Enh Actv ETF EUR H Acc,IE000R7HJVO6,"0,00 %","1,68 %","0,75 %","6,84 %","24,15 %",—,—,—,—,—
iShares US Eq Enh Actv ETF USD Acc,IE0009VWHAE6,"1,23 %","2,94 %","2,42 %","7,87 %","28,11 %","16,32 %","20,81 %",—,—,—
iShares US Medical Devices ETF USD Acc,IE00BMX0DF60,"0,33 %","4,46 %","2,89 %","1,85 %","5,49 %","7,04 %","5,08 %","10,51 %","4,62 %",—
iShares US Mortg Backed Secs ETF EURHAcc,IE00BKP5L409,"0,11 %","0,22 %","1,01 %","3,60 %","4,28 %","5,76 %","4,63 %","3,87 %","−2,12 %",—
iShares US Mortg Backed Secs ETF EURHDis,IE000EEJLWG1,"0,08 %","0,19 %","0,90 %","3,72 %","4,42 %","6,09 %","4,73 %",—,—,—
iShares US Mortg Backed Secs ETF USD Dis,IE00BZ6V7883,"0,47 %","0,67 %","1,50 %","4,60 %","6,10 %","7,88 %","7,09 %","6,22 %","−0,18 %",—
iShares US Mortgage Backed SecsETF£HDist,IE000MFEI2J0,"0,10 %","0,16 %","1,11 %","4,25 %","5,38 %","7,43 %","6,49 %","5,50 %",—,—
iShares US Property Yield ETF USD Dist,IE00B1FZSF77,"1,09 %","1,76 %","2,75 %","3,51 %","8,23 %","5,97 %","−1,18 %","9,68 %","8,03 %","4,35 %"
iShares Wld Eq Fac Rotatin Act ETF $ Acc,IE0009Y1MQJ2,"0,64 %","0,48 %","0,88 %","7,98 %","24,12 %",—,—,—,—,—
iShares World Eq Enh Actv ETF EUR H Acc,IE000P1IQS65,"1,07 %","2,65 %","2,44 %","6,65 %","25,48 %",—,—,—,—,—
iShares World Eq Enh Actv ETF USD Acc,IE000D8XC064,"0,99 %","2,52 %","2,34 %","7,44 %","23,36 %","19,65 %","20,14 %",—,—,—
iShares World Eq Hi Inc Actv ETF $ Acc,IE0000P0RPE6,"0,62 %","0,98 %","1,38 %","7,25 %","20,18 %","17,68 %","17,10 %",—,—,—
iShares World Eq Hi Inc Actv ETF $ Inc,IE000KJPDY61,"0,62 %","1,45 %","1,55 %","5,79 %","20,04 %","17,48 %","16,99 %",—,—,—
iShares £ Corp Bond 0-5yr ETF EUR H Acc,IE000WJWZK35,"0,00 %","0,28 %","0,57 %","1,03 %","2,39 %","3,78 %","3,88 %",—,—,—
iShares £ Corp Bond 0-5yr ETF GBP Dist,IE00B5L65R35,"−0,08 %","0,33 %","0,70 %","1,44 %","3,37 %","5,16 %","6,03 %","6,81 %","2,19 %","2,40 %"
iShares £ Corp Bond 0-5yr ETF USD H Acc,IE000Q7NR6I3,"0,00 %","0,00 %","0,00 %","0,00 %","2,28 %","3,83 %","4,54 %",—,—,—
