Nombre,ISIN,Último Precio,Rendimiento 12 Meses,Categoría Morningstar,Medalist Rating,Rating Morningstar para Fondos,Rating ESG Morningstar Para Fondos,Patrimonio (moneda base),Fecha Patrimonio Fondo,Costes PRIIPs KID,Fecha de creación
Ailis D-X MSCI Europe Scrn ETF X EUR Acc,LU2870272734,"5,52 €","0,00 %",Europe Large-Cap Blend Equity,—,—,,"636,50 M€",13 oct 2025,"0,29 %",23 sept 2024
Ailis D-X MSCI USA Scrn ETF X EUR Acc,LU2870272577,"5,69 €","0,00 %",US Large-Cap Blend Equity,—,—,,"1948,84 M€",13 oct 2025,"0,29 %",23 sept 2024
Ailis D-X MSCI USA Scrn ETF XH EUR Acc,LU2870272650,"5,77 €","0,00 %",Other Equity,—,—,,"1948,84 M€",13 oct 2025,"0,29 %",23 sept 2024
Ailis D-X MSCI World Scrn ETF X EUR Acc,LU2870272908,"5,69 €","0,00 %",Global Large-Cap Blend Equity,—,—,,"1118,94 M€",13 oct 2025,"0,29 %",23 sept 2024
Ailis D-X MSCI€GovtBd1-3ETFXEURAcc,LU2870273039,"5,13 €","0,00 %",EUR Government Bond - Short Term,—,—,,"648,49 M€",13 oct 2025,"0,24 %",23 sept 2024
Ailis D-X MSCI€GovtBd3-5ETFXEURAcc,LU2870273203,"5,13 €","0,00 %",EUR Government Bond,—,—,,"292,84 M€",13 oct 2025,"0,24 %",23 sept 2024
Ailis D-X MSCI€GovtBd7-10ETFXEURAcc,LU2870273385,"5,08 €","0,00 %",EUR Government Bond,—,—,,"338,22 M€",13 oct 2025,"0,24 %",23 sept 2024
Alerian Midstream Energy Dividend ETF A,IE00BKPTXQ89,"16,23 US$","2,95 %",Sector Equity Energy,,,—,"58,91 MUS$",13 oct 2025,"0,49 %",27 jul 2020
Aluminium TR ETC EUR,DE000PB6ALU1,—,—,Commodities - Industrial & Broad Metals,—,—,—,"3,36 M€",13 oct 2025,"0,85 %",22 may 2017
Amerant Latin American Debt ETF Dis,IE000Y187J49,"19,86 US$",—,Other Bond,—,—,—,"28,87 MUS$",13 oct 2025,"0,85 %",24 mar 2025
Amundi Australia (S&P/ASX 200) ETF D-EUR,LU0496786905,"51,95 €","3,88 %",Australia & New Zealand Equity,,,,"108,00 M€",13 oct 2025,"0,40 %",26 mar 2010
Amundi BEL 20 ETF Dist,FR0000021842,"74,24 €","0,80 %",Belgium Equity,,,,"67,24 M€",13 oct 2025,"0,50 %",2 oct 2002
Amundi BlmbrgEqualweightCmdexAgrETFAcc,LU1829218749,"24,86 €","0,00 %",Commodities - Broad Basket,—,—,—,"1130,83 M€",13 oct 2025,"0,30 %",21 feb 2019
Amundi BlmbrgEqualweightCmdexAgrETF€HAcc,LU1900069219,"29,26 €","0,00 %",Commodities - Broad Basket,—,—,—,"1130,83 M€",13 oct 2025,"0,35 %",21 feb 2019
Amundi BTP Daily (-2x) Inverse ETF Acc,FR0011023621,"17,18 €","0,00 %",Trading - Leveraged/Inverse Fixed Income,—,—,—,"112,40 M€",13 oct 2025,"0,40 %",27 abr 2011
Amundi Bund Daily (-2x) Inverse ETF Acc,FR0010869578,"42,34 €","0,00 %",Trading - Leveraged/Inverse Fixed Income,—,—,—,"24,72 M€",13 oct 2025,"0,20 %",9 abr 2010
Amundi CAC 40 Daily (-2x) Inv ETF Acc,FR0010411884,"0,70 €","0,00 %",Trading - Leveraged/Inverse Equity,—,—,—,"251,66 M€",13 oct 2025,"0,60 %",15 ene 2007
Amundi CAC 40 Daily -1x Inverse ETF Acc,FR0010591362,"9,96 €","0,00 %",Trading - Leveraged/Inverse Equity,—,—,—,"103,08 M€",13 oct 2025,"0,40 %",10 jun 2008
Amundi CAC 40 Daily 2x Leveraged ETF Acc,FR0010592014,"41,32 €","0,00 %",Trading - Leveraged/Inverse Equity,—,—,—,"204,89 M€",13 oct 2025,"0,40 %",23 may 2008
Amundi CAC 40 ETF Dist,FR0007052782,"37,77 US$","2,75 %",France Equity,,,,"4126,22 M€",13 oct 2025,"0,25 %",13 dic 2000
Amundi CAC 40 ETF J-EUR,FR0011122233,—,"0,00 %",France Equity,,,,"4126,22 M€",13 oct 2025,"0,25 %",5 oct 2011
Amundi CAC Transition Climat UCITS ETF,FR0010655704,—,"0,00 %",France Equity,,,,"11,22 M€",13 oct 2025,"0,25 %",16 sept 2008
Amundi Core DAX ETF Dist,LU2611732046,"184,96 €","1,82 %",Germany Equity,,,,"1688,72 M€",13 oct 2025,"0,08 %",7 dic 2023
Amundi Core EUR Corporate Bd ETF Dist,LU1931975079,"19,31 €","2,13 %",EUR Corporate Bond,,,,"1770,35 M€",13 oct 2025,"0,07 %",5 feb 2019
Amundi Core Eur Corporate Bd ETF DR-EURC,LU2089238625,—,"0,00 %",EUR Corporate Bond,,,,"1770,35 M€",13 oct 2025,"0,07 %",5 feb 2019
Amundi Core Eur Corporate Bd ETF-CHF H C,LU2798197641,"10,45 CHF","0,00 %",Other Bond,—,—,,"1648,20 MCHF",13 oct 2025,"0,09 %",24 may 2024
Amundi Core EUR High Yield Bd ETF Acc,LU2970735911,"10,09 €",—,EUR High Yield Bond,—,—,—,"64,23 M€",13 oct 2025,"0,15 %",15 jul 2025
Amundi Core EURO STOXX 50 ETF EUR Acc,LU1681047236,"145,40 €","0,00 %",Eurozone Large-Cap Equity,,,,"3604,44 M€",13 oct 2025,"0,09 %",14 feb 2018
Amundi Core MSCI Emerg Mkts Swp ETF Acc,LU2573967036,"66,51 US$","0,00 %",Global Emerging Markets Equity,,,,"6943,50 MUS$",13 oct 2025,"0,14 %",24 mar 2023
Amundi Core MSCI Emerg Mkts Swp ETF Dis,LU2573966905,"59,68 US$","2,85 %",Global Emerging Markets Equity,,,,"6943,50 MUS$",13 oct 2025,"0,14 %",24 mar 2023
Amundi Core MSCI EMU ETF Dis,LU1646360971,—,"2,47 %",Eurozone Large-Cap Equity,,,,"1005,20 M€",13 oct 2025,"0,12 %",7 dic 2017
Amundi Core MSCI Japan ETF Acc,LU1781541252,"3215,90 JPY","0,00 %",Japan Large-Cap Blend Equity,,,,"769,97 mil MJPY",10 oct 2025,"0,12 %",28 feb 2018
Amundi Core MSCI Japan ETF Dist,LU2090063673,—,"1,64 %",Japan Large-Cap Blend Equity,,,,"769,97 mil MJPY",10 oct 2025,"0,12 %",17 sept 2020
Amundi Core MSCI Japan ETF EUR H Dist,LU2133056387,—,"1,60 %",Other Equity,—,—,,"4362,13 M€",10 oct 2025,"0,20 %",17 sept 2020
Amundi Core MSCI Japan ETF GBP H Acc,LU1781541682,—,"0,00 %",Other Equity,—,—,,"3796,73 MGBP",10 oct 2025,"0,20 %",18 oct 2018
Amundi Core MSCI USA ETF Acc,IE000FSN19U2,"42,94 US$","0,00 %",US Large-Cap Blend Equity,,,,"3129,05 MUS$",13 oct 2025,"0,03 %",6 mar 2024
Amundi Core MSCI World ETF Acc,IE000BI8OT95,"157,56 US$","0,00 %",Global Large-Cap Blend Equity,,—,,"14,64 mil MUS$",13 oct 2025,"0,12 %",18 ene 2024
Amundi Core MSCI World ETF Dist,IE000CNSFAR2,"15,97 US$","1,31 %",Global Large-Cap Blend Equity,,,,"14,64 mil MUS$",13 oct 2025,"0,12 %",9 jun 2022
Amundi Core Nasdaq-100 Swap ETF Acc,LU1829221024,"44,62 US$","0,00 %",US Large-Cap Growth Equity,,,,"5941,60 M€",13 oct 2025,"0,22 %",17 ene 2019
Amundi Core Nasdaq-100 Swap ETF Dist,LU2197908721,—,"0,47 %",US Large-Cap Growth Equity,,,,"6869,06 MUS$",13 oct 2025,"0,22 %",10 sept 2020
Amundi Core Nasdaq-100 Swap ETF € H Acc,LU1954152853,"11,78 €","0,00 %",Other Equity,—,—,,"5941,60 M€",13 oct 2025,"0,20 %",19 ene 2021
Amundi Core S&P 500 ETF USD Acc,IE000UBAW7M3,—,—,US Large-Cap Blend Equity,,—,,"6,62 MUS$",13 oct 2025,"0,05 %",10 abr 2025
Amundi Core S&P 500 Swap ETF CHF H Dist,LU1302703878,—,"1,20 %",Other Equity,—,—,,"21,13 mil MCHF",13 oct 2025,"0,07 %",28 abr 2016
Amundi Core S&P 500 Swap ETF EUR Dist,LU0496786574,—,"1,19 %",US Large-Cap Blend Equity,,,,"22,70 mil M€",13 oct 2025,"0,05 %",26 mar 2010
Amundi Core S&P 500 Swap ETF EUR H Dist,LU0959211243,—,"1,14 %",Other Equity,—,—,,"22,70 mil M€",13 oct 2025,"0,07 %",19 ago 2013
Amundi Core S&P 500 Swap ETF GBP H Dist,LU1950341179,—,"1,13 %",Other Equity,—,—,,"19,69 mil MGBP",13 oct 2025,"0,05 %",15 feb 2019
Amundi Core S&P 500 Swap ETF USD Dist,LU0496786657,"68,32 US$","1,13 %",US Large-Cap Blend Equity,,,,"26,24 mil MUS$",13 oct 2025,"0,05 %",26 mar 2010
Amundi Core Stoxx Eurp 600 ETF Acc,LU0908500753,"271,16 €","0,00 %",Europe Large-Cap Blend Equity,,,,"13,98 mil M€",13 oct 2025,"0,07 %",8 feb 2024
Amundi Core Stoxx Eurp 600 ETF EUR HDist,LU1574142243,"147,42 €","2,13 %",Other Equity,—,—,,"13,98 mil M€",13 oct 2025,"0,15 %",8 feb 2024
Amundi Core UK Govt Bd ETF Dist,LU1407892592,"GBX10.247,00","2,62 %",GBP Government Bond,,,,"1286,71 MGBP",13 oct 2025,"0,05 %",13 oct 2016
Amundi Core USD Corp Bd ETF Dist,LU2037749152,—,"4,08 %",USD Corporate Bond,,,,"156,35 MUS$",13 oct 2025,"0,07 %",10 sept 2019
Amundi Core USD Corp Bd ETF EUR H Acc,LU2977997381,"10,38 €",—,Other Bond,—,—,,"135,24 M€",13 oct 2025,"0,09 %",4 mar 2025
Amundi Core USD Corp Bd ETF GBP H Dist,LU2621112452,"11,08 GBP","3,82 %",Other Bond,—,—,,"117,32 MGBP",13 oct 2025,"0,09 %",11 jul 2023
Amundi Corporate Proceeds Bd ETF Acc,LU2370241684,—,"0,00 %",Global Corporate Bond,,,,"7,32 M€",13 oct 2025,"0,20 %",12 ago 2021
Amundi Daily ShortDAX x2 ETF Acc,FR0010869495,"0,54 €","0,00 %",Trading - Leveraged/Inverse Equity,—,—,—,"25,97 M€",13 oct 2025,"0,60 %",9 abr 2010
Amundi DAX 50 ESG - DR EUR (C),LU2240851688,—,"0,00 %",Germany Equity,,,,"33,64 M€",13 oct 2025,"0,15 %",24 nov 2020
Amundi DAX 50 ESG II ETF,DE000ETF9090,—,"2,33 %",Germany Equity,,,,"289,00 M€",13 oct 2025,"0,15 %",6 abr 2020
Amundi DAX II ETF Acc,LU0252633754,"221,55 €","0,00 %",Germany Equity,,,,"1311,96 M€",13 oct 2025,"0,15 %",1 jun 2006
Amundi DivDAX I ETF EUR Dis,LU2611731741,"35,62 €","3,31 %",Germany Equity,,,,"77,25 M€",13 oct 2025,"0,25 %",7 dic 2023
Amundi DJ Global Titans 50 ETF Dist,FR0007075494,"91,44 €","0,79 %",Global Large-Cap Blend Equity,,,,"546,18 M€",13 oct 2025,"0,40 %",3 nov 2003
Amundi DJ Industrial Average ETF Dist,FR0007056841,"402,60 €","1,20 %",US Large-Cap Value Equity,,,,"330,49 M€",13 oct 2025,"0,50 %",4 abr 2001
Amundi DJ Switzerland Titans 30ETFCHFDis,LU2611732632,"176,76 €","1,39 %",Switzerland Equity,,,,"165,95 MCHF",13 oct 2025,"0,25 %",7 dic 2023
Amundi ErHgRtdMacrWtGtBd1-3YDrETF Acc,LU1829219556,—,"0,00 %",EUR Government Bond - Short Term,,,,"278,87 M€",13 oct 2025,"0,17 %",8 nov 2018
Amundi ErHgRtdMacrWtGtBd3-5YDrETF Acc,LU1829219713,—,"0,00 %",EUR Government Bond,,,,"50,17 M€",13 oct 2025,"0,17 %",8 nov 2018
Amundi ETF DAX DR,FR0010655712,—,"0,00 %",Germany Equity,,,,"1485,79 M€",13 oct 2025,"0,10 %",16 sept 2008
Amundi EUR Corp Bd Clmt PrsAlgdETFAcc,LU1829219127,"155,14 €","0,00 %",EUR Corporate Bond,,,,"1173,55 M€",13 oct 2025,"0,14 %",25 oct 2018
Amundi EUR Corp Bd ex-Fincls ESG ETF Acc,LU1829218822,—,"0,00 %",EUR Corporate Bond,,,,"65,87 M€",13 oct 2025,"0,14 %",25 oct 2018
Amundi EUR Corporate Bd 0-1Y ESG ETF DRC,LU2300294316,—,"0,00 %",EUR Corporate Bond - Short Term,,,,"416,99 M€",13 oct 2025,"0,08 %",15 mar 2021
Amundi EUR Corporate Bd 0-3Y ESG ETF DRC,LU2037748774,—,"0,00 %",EUR Corporate Bond - Short Term,,,,"3209,31 M€",13 oct 2025,"0,12 %",5 sept 2019
Amundi EUR Corporate Bond ESG ETF DR C,LU1437018168,"54,10 €","0,00 %",EUR Corporate Bond,,,,"6601,18 M€",13 oct 2025,"0,14 %",11 nov 2016
Amundi EUR Corporate Bond ESG ETF DR H$C,LU2469335884,"58,78 US$","0,00 %",Other Bond,—,—,,"7631,60 MUS$",13 oct 2025,"0,18 %",2 jun 2022
Amundi EUR High Yield Corp Bd ESG ETFAcc,LU2346257210,"10,86 €","0,00 %",EUR High Yield Bond,,,,"360,55 M€",13 oct 2025,"0,25 %",15 feb 2024
Amundi EUR High Yield Corp Bd ESG ETFDis,LU1812090543,"109,52 €","2,20 %",EUR High Yield Bond,,,,"360,55 M€",13 oct 2025,"0,25 %",15 feb 2024
Amundi EUR Infl Expct 2-10Y ETF Acc,LU1390062245,"116,50 €","0,00 %",Relative Value Arbitrage,—,—,—,"128,42 M€",13 oct 2025,"0,25 %",13 abr 2016
Amundi EUR Shrt Trm HY Corp Bd ESG ETF D,LU1617164998,"98,65 €","0,00 %",EUR High Yield Bond,,—,,"238,13 M€",13 oct 2025,"0,30 %",8 feb 2024
Amundi Euro Aggregate Bond ESG ETF DR C,LU2182388236,—,"0,00 %",EUR Diversified Bond,,,,"974,80 M€",13 oct 2025,"0,16 %",7 jul 2020
Amundi Euro Aggregate Bond ESG ETF DR €D,LU2439113387,"46,02 €","1,82 %",EUR Diversified Bond,,,,"974,80 M€",13 oct 2025,"0,16 %",10 mar 2022
Amundi Euro Gov Bd 0-6 M ETF Acc,FR0010754200,—,"0,00 %",Money Market - Other,—,—,,"739,04 M€",13 oct 2025,"0,14 %",22 jun 2009
Amundi Euro Government Bd 25+Y ETF Acc,LU1686832194,"75,39 €","0,00 %",EUR Bond - Long Term,,,,"402,57 M€",13 oct 2025,"0,07 %",19 feb 2024
Amundi Euro Government Bd 25+Y ETF Dis,LU1686832277,"133,90 €","1,71 %",EUR Bond - Long Term,,—,,"402,57 M€",13 oct 2025,"0,07 %",19 feb 2024
Amundi Euro Government Green Bd ETF Acc,LU2356220926,—,"0,00 %",EUR Government Bond,,,,"270,02 M€",13 oct 2025,"0,20 %",25 jun 2021
Amundi Euro Govt Bd 1-3Y ETF Acc,LU1650487413,"127,47 €","0,00 %",EUR Government Bond - Short Term,,,,"2021,74 M€",13 oct 2025,"0,15 %",23 nov 2017
Amundi Euro Govt Bd 10-15Y ETF Acc,LU1650489385,—,"0,00 %",EUR Bond - Long Term,,,,"1089,35 M€",13 oct 2025,"0,15 %",23 nov 2017
Amundi Euro Govt Bd 15+Y ETF Acc,LU1287023268,—,"0,00 %",EUR Bond - Long Term,,,,"262,74 M€",13 oct 2025,"0,15 %",21 jul 2016
Amundi Euro Govt Bd 3-5Y ETF Acc,LU1650488494,—,"0,00 %",EUR Government Bond,,,,"1690,58 M€",13 oct 2025,"0,15 %",23 nov 2017
Amundi Euro Govt Bd 5-7Y ETF Acc,LU1287023003,"160,89 €","0,00 %",EUR Government Bond,,,,"530,65 M€",13 oct 2025,"0,15 %",21 jul 2016
Amundi Euro Govt Bd 7-10Y ETF Acc,LU1287023185,"1297,07 US$","0,00 %",EUR Government Bond,,,,"1433,13 M€",13 oct 2025,"0,15 %",21 jul 2016
Amundi Euro Govt Infl-Lnkd Bd ETF Acc,LU1650491282,—,"0,00 %",EUR Inflation-Linked Bond,,,,"1100,23 M€",13 oct 2025,"0,09 %",23 nov 2017
Amundi Euro Govt Lw Dur Tltd GrnBdETFAcc,LU2924150282,"20,56 €",—,EUR Government Bond,—,—,,"4,70 M€",13 oct 2025,"0,14 %",30 ene 2025
Amundi Euro HR McWtdGBETFAcc,LU1287023342,—,"0,00 %",EUR Government Bond,,,,"325,16 M€",13 oct 2025,"0,17 %",21 jul 2016
Amundi Euro HY Bd ESG - DR EUR (C),LU1681040496,"261,71 €","0,00 %",EUR High Yield Bond,,,,"419,77 M€",13 oct 2025,"0,35 %",5 abr 2018
Amundi Euro Overnight Return ETF Acc,FR0010510800,"112,38 €","0,00 %",Money Market - Other,—,—,—,"2648,79 M€",13 oct 2025,"0,10 %",13 sept 2007
Amundi Euro Stoxx 50 II ETF DH GBP Acc,FR0012399772,"56,39 US$","0,00 %",Other Equity,—,—,,"3311,46 MGBP",13 oct 2025,"0,20 %",30 ene 2015
Amundi Euro Stoxx 50 II ETF DH USD Acc,FR0012399806,—,"0,00 %",Other Equity,—,—,,"4413,34 MUS$",13 oct 2025,"0,20 %",7 ene 2015
Amundi Euro Stoxx 50 II UCITS ETF Acc,FR0007054358,"61,68 €","0,00 %",Eurozone Large-Cap Equity,,,,"3817,45 M€",13 oct 2025,"0,20 %",19 feb 2001
Amundi Euro Stoxx Banks ETF Acc,LU1829219390,—,"0,00 %",Sector Equity Financial Services,,,,"2950,64 M€",13 oct 2025,"0,30 %",8 nov 2018
Amundi Euro Stoxx Select Div 30 ETF Dist,LU2611732558,"44,23 €","3,90 %",Eurozone Large-Cap Equity,,,,"92,08 M€",13 oct 2025,"0,25 %",21 mar 2024
Amundi EuroStoxx50 Dly -1x Inv ETF Acc,FR0010424135,"7,66 €","0,00 %",Trading - Leveraged/Inverse Equity,—,—,—,"34,61 M€",13 oct 2025,"0,40 %",3 abr 2007
Amundi EuroStoxx50 Dly -2x Inv ETF Acc,FR0010424143,"0,57 €","0,00 %",Trading - Leveraged/Inverse Equity,—,—,—,"35,09 M€",13 oct 2025,"0,60 %",3 abr 2007
Amundi EuroStoxx50 Dly 2x Lvrgd ETF Acc,FR0010468983,—,"0,00 %",Trading - Leveraged/Inverse Equity,—,—,—,"156,03 M€",13 oct 2025,"0,40 %",29 jun 2007
Amundi F.A.Z. 100 ETF EUR Dis,LU2611732129,"36,64 €","2,04 %",Germany Equity,,,,"101,71 M€",13 oct 2025,"0,15 %",7 dic 2023
Amundi Fltng Rt USD Corp ESG - DR USD(C),LU1681040900,—,"0,00 %",USD Corporate Bond,,,,"631,05 MUS$",13 oct 2025,"0,18 %",5 abr 2018
Amundi FTSE 100 Swap ETF Acc,LU1650492173,"GBX1684,80","0,00 %",UK Large-Cap Equity,,,,"730,25 MGBP",13 oct 2025,"0,14 %",9 nov 2017
Amundi FTSE 100 Swap ETF Dist,LU1650492256,"GBX14.396,00","3,54 %",UK Large-Cap Equity,,,,"730,25 MGBP",13 oct 2025,"0,14 %",9 nov 2017
Amundi FTSE 100 Swap ETF EUR H Acc,LU1650492330,—,"0,00 %",Other Equity,—,—,,"841,83 M€",13 oct 2025,"0,30 %",9 nov 2017
Amundi FTSE 100 Swap ETF USD H Acc,LU1650492504,—,"0,00 %",Other Equity,—,—,,"973,23 MUS$",13 oct 2025,"0,30 %",9 nov 2017
Amundi FTSE EPRA/NAREIT Global II ETF D,LU1832418773,"39,45 €","3,82 %",Property - Indirect Global,,,,"69,21 M€",13 oct 2025,"0,45 %",8 feb 2024
Amundi FTSE Italia PMIPIR 2020 ETF Acc,FR0011758085,—,"0,00 %",Italy Equity,,,,"176,45 M€",13 oct 2025,"0,40 %",28 mar 2014
Amundi FTSE MIB Daily (2x) Lvrgd ETF Dis,FR0010446658,—,"6,30 %",Trading - Leveraged/Inverse Equity,—,—,—,"121,58 M€",13 oct 2025,"0,60 %",8 feb 2008
Amundi FTSE MIB Dly -1x Inv Bear ETF Acc,FR0010446146,"5,26 €","0,00 %",Trading - Leveraged/Inverse Equity,—,—,—,"34,05 M€",13 oct 2025,"0,60 %",8 feb 2008
Amundi FTSE MIB Dly -2x Inv XBear ETFAcc,FR0010446666,"0,25 €","0,00 %",Trading - Leveraged/Inverse Equity,—,—,—,"45,08 M€",13 oct 2025,"0,60 %",8 feb 2008
Amundi FTSE MIB ETF Dist,FR0010010827,"42,99 €","3,07 %",Italy Equity,,,,"593,43 M€",13 oct 2025,"0,35 %",3 nov 2003
Amundi FxdMat26 Euro Govt Bd Brd ETF Acc,LU2872291278,"10,06 €",—,Fixed Term Bond,—,—,,"2,01 M€",10 oct 2025,"0,09 %",28 may 2025
Amundi FxdMat27 Euro Govt Bd Brd ETF Acc,LU2872291435,"10,05 €",—,Fixed Term Bond,—,—,,"3,01 M€",10 oct 2025,"0,09 %",28 may 2025
Amundi FxdMat27 Grmn Bund Govt BdETF Inc,LU2780871823,"10,39 €","1,45 %",Fixed Term Bond,—,—,,"6,49 M€",13 oct 2025,"0,09 %",25 abr 2024
Amundi FxdMat28 Euro Govt Bd Brd ETF Acc,LU2780871310,"10,06 €",—,Fixed Term Bond,—,—,,"26,92 M€",13 oct 2025,"0,09 %",28 may 2025
Amundi FxdMat28 Euro Govt Bd Brd ETF Inc,LU2780871401,"10,47 €","1,72 %",Fixed Term Bond,—,—,,"26,92 M€",13 oct 2025,"0,09 %",25 abr 2024
Amundi FxdMat28 Euro Govt Bd Yld+ETF Inc,LU2780871666,"10,52 €","2,29 %",Fixed Term Bond,—,—,,"11,63 M€",13 oct 2025,"0,09 %",25 abr 2024
Amundi FxdMat29 Euro Govt Bd Brd ETF Acc,LU2872291781,"10,08 €",—,Fixed Term Bond,—,—,,"2,01 M€",10 oct 2025,"0,09 %",28 may 2025
Amundi Glb Aggt Bd 1-5Y ESG ETF DR H CHF,LU2606055775,"50,55 CHF","0,00 %",Global Diversified Bond - CHF Hedged,,—,,"199,26 MCHF",13 oct 2025,"0,16 %",10 may 2023
Amundi Glb Aggt Bd 1-5Y ESG ETF DR H EUR,LU2470620845,"53,99 €","0,00 %",Global Diversified Bond - EUR Hedged,,,,"214,03 M€",13 oct 2025,"0,16 %",28 jun 2022
Amundi Glb Aggt Bd 1-5Y ESG ETF DR USD,LU2470620761,"55,78 US$","0,00 %",Global Diversified Bond,,,,"247,44 MUS$",13 oct 2025,"0,14 %",28 jun 2022
Amundi Glb Aggt Green Bd ETF Acc,LU1563454310,—,"0,00 %",Global Diversified Bond,,,,"420,81 M€",13 oct 2025,"0,25 %",21 feb 2017
Amundi Glb Aggt Green Bd ETF CHF H Acc,LU1563455713,—,"0,00 %",Global Diversified Bond - CHF Hedged,,,,"391,78 MCHF",13 oct 2025,"0,30 %",3 sept 2021
Amundi Glb Aggt Green Bd ETF EUR H Acc,LU1563454823,—,"0,00 %",Global Diversified Bond - EUR Hedged,,,,"420,81 M€",13 oct 2025,"0,30 %",21 jun 2017
Amundi Glb Aggt Green Bd ETF GBP H Dist,LU1563455630,—,"1,97 %",Global Diversified Bond - GBP Hedged,,,,"365,03 MGBP",13 oct 2025,"0,30 %",23 jul 2020
Amundi Glb AggtPrcds Bd 1-10Y ETFAcc,LU1981859819,—,"0,00 %",Global Diversified Bond,,,,"24,45 M€",13 oct 2025,"0,15 %",13 sept 2019
Amundi Glb AggtPrcdsBd 1-10YETFCHFHdgAcc,LU1981860668,"19,68 CHF","0,00 %",Global Diversified Bond - CHF Hedged,,,,"22,76 MCHF",13 oct 2025,"0,15 %",11 may 2022
Amundi Glb AggtPrcdsBd 1-10YETFCHFHdgDis,LU1981860742,"19,05 CHF","1,95 %",Global Diversified Bond - CHF Hedged,,,,"22,76 MCHF",13 oct 2025,"0,15 %",6 may 2022
Amundi Glb AggtPrcdsBd 1-10YETFEURHdgAcc,LU1981860072,"21,27 €","0,00 %",Global Diversified Bond - EUR Hedged,,,,"24,45 M€",13 oct 2025,"0,15 %",11 may 2022
Amundi Glb AggtPrcdsBd 1-10YETFGBPHdgDis,LU1981860585,"21,45 GBP","1,89 %",Global Diversified Bond - GBP Hedged,,,,"21,21 MGBP",13 oct 2025,"0,15 %",11 may 2022
Amundi Glb AggtPrcdsBd 1-10YETFUSDHdgAcc,LU1981860239,"22,74 US$","0,00 %",Global Diversified Bond - USD Hedged,,,,"28,26 MUS$",13 oct 2025,"0,15 %",11 may 2022
Amundi Glb Govt Inf-Ld Bd 1-10Y ETF Dis,LU1910939849,"11,77 US$","0,76 %",Global Inflation-Linked Bond,,,,"192,55 MUS$",13 oct 2025,"0,09 %",23 ene 2019
Amundi Glb Govt Inf-Ld Bd 1-10Y ETF£HDis,LU1910940425,—,"0,74 %",Global Inflation-Linked Bond - GBP Hedged,,,,"144,47 MGBP",13 oct 2025,"0,20 %",6 abr 2021
Amundi Glb Govt Inf-Ld Bd 1-10Y ETF€HDis,LU1910940268,"10,81 €","0,74 %",Global Inflation-Linked Bond - EUR Hedged,,,,"166,55 M€",13 oct 2025,"0,20 %",20 may 2019
Amundi Glb HY Corp Bd ESG $ Acc,LU2099295466,"24,23 US$","0,00 %",Global High Yield Bond,,,,—,—,"0,25 %",11 jun 2024
Amundi Glb HY Corp Bd ESG Mly H to € Acc,LU2099296274,"22,26 €","0,00 %",Global High Yield Bond - EUR Hedged,,,,—,—,"0,30 %",11 jun 2024
Amundi Global Bioenergy UCITS ETF EURAcc,LU1681046006,"348,43 €","0,00 %",Sector Equity Alternative Energy,—,,—,"34,42 M€",13 oct 2025,"0,35 %",31 ene 2018
