ClienteID,Edad,Sueldo_Anual,Patrimonio,Horizonte,Tolerancia_Riesgo,Conocimiento_Inversor,Peso_RF,Peso_RV,Peso_Alt
112,52,4886,245507,Largo,Baja,Alto,0.5,0.35,0.15
113,24,2801,24736,Corto,Baja,Medio,0.65,0.25,0.1
114,61,3238,409357,Corto,Baja,Bajo,0.65,0.25,0.1
115,58,4332,278985,Largo,Baja,Bajo,0.5,0.35,0.15
116,60,3872,331382,Medio,Media,Alto,0.4,0.5,0.1
117,47,5809,314799,Medio,Media,Medio,0.4,0.5,0.1
118,26,2513,43907,Corto,Alta,Alto,0.3,0.5,0.2
119,28,2497,73926,Largo,Baja,Medio,0.5,0.35,0.15
120,27,2617,32695,Medio,Alta,Alto,0.2,0.55,0.25
121,31,1855,36052,Corto,Media,Medio,0.45,0.45,0.1
122,53,3772,328619,Largo,Baja,Medio,0.5,0.35,0.15
123,52,3597,278860,Medio,Baja,Alto,0.6,0.3,0.1
124,67,2575,376388,Medio,Media,Medio,0.4,0.5,0.1
125,42,3978,208311,Largo,Media,Alto,0.3,0.55,0.15
126,43,5001,207659,Largo,Media,Medio,0.3,0.55,0.15
127,56,4384,373024,Largo,Media,Medio,0.3,0.55,0.15
128,54,3734,339958,Largo,Media,Medio,0.3,0.55,0.15
129,63,3151,338237,Corto,Baja,Bajo,0.65,0.25,0.1
130,59,4078,367524,Largo,Media,Medio,0.3,0.55,0.15
131,41,2870,161310,Medio,Baja,Alto,0.6,0.3,0.1
132,46,5540,392727,Medio,Baja,Medio,0.6,0.3,0.1
133,54,5051,488172,Corto,Media,Medio,0.45,0.45,0.1
134,20,1927,5000,Medio,Media,Medio,0.4,0.5,0.1
135,54,2882,187026,Medio,Baja,Medio,0.6,0.3,0.1
136,56,4653,351121,Largo,Media,Medio,0.3,0.55,0.15
137,66,2443,306373,Medio,Media,Medio,0.4,0.5,0.1
138,33,3536,71379,Corto,Media,Alto,0.45,0.45,0.1
139,22,1552,8549,Largo,Alta,Alto,0.2,0.5,0.3
140,20,1884,5000,Largo,Baja,Medio,0.5,0.35,0.15
141,24,2085,18758,Corto,Alta,Alto,0.3,0.5,0.2
142,45,4202,293587,Largo,Media,Medio,0.3,0.55,0.15
143,33,2692,76110,Largo,Alta,Alto,0.2,0.5,0.3
144,58,4165,321963,Corto,Media,Medio,0.45,0.45,0.1
145,46,3366,104583,Largo,Alta,Medio,0.2,0.5,0.3
146,28,2845,58635,Corto,Media,Alto,0.45,0.45,0.1
147,34,2977,102056,Corto,Alta,Alto,0.3,0.5,0.2
148,34,3174,150316,Medio,Alta,Alto,0.2,0.55,0.25
149,45,4700,215434,Medio,Alta,Medio,0.2,0.55,0.25
150,61,3000,262748,Largo,Baja,Bajo,0.5,0.35,0.15
151,32,2150,57216,Largo,Alta,Alto,0.2,0.5,0.3
152,51,5125,470989,Corto,Baja,Medio,0.65,0.25,0.1
153,58,3972,294167,Largo,Media,Medio,0.3,0.55,0.15
154,68,2126,221272,Corto,Alta,Medio,0.3,0.5,0.2
155,51,5330,393120,Corto,Media,Medio,0.45,0.45,0.1
156,23,2122,15551,Largo,Media,Alto,0.3,0.55,0.15
157,49,5051,255559,Corto,Alta,Alto,0.3,0.5,0.2
158,56,3795,290274,Medio,Baja,Bajo,0.6,0.3,0.1
159,42,5124,301866,Largo,Alta,Alto,0.2,0.5,0.3
160,58,4920,259586,Medio,Media,Medio,0.4,0.5,0.1
161,64,3584,328420,Largo,Media,Medio,0.3,0.55,0.15
162,34,3402,77183,Corto,Alta,Alto,0.3,0.5,0.2
163,62,4180,477910,Largo,Baja,Bajo,0.5,0.35,0.15
164,48,5193,159162,Medio,Baja,Medio,0.6,0.3,0.1
165,55,3107,181797,Corto,Media,Medio,0.45,0.45,0.1
166,32,3260,89851,Largo,Media,Alto,0.3,0.55,0.15
167,51,4960,454718,Largo,Baja,Medio,0.5,0.35,0.15
168,26,2037,25719,Largo,Alta,Alto,0.2,0.5,0.3
169,41,2961,105079,Medio,Media,Alto,0.4,0.5,0.1
170,47,2637,224657,Medio,Baja,Alto,0.6,0.3,0.1
171,21,1994,5000,Largo,Media,Medio,0.3,0.55,0.15
172,61,4228,118259,Corto,Alta,Medio,0.3,0.5,0.2
173,64,4752,474022,Corto,Baja,Bajo,0.65,0.25,0.1
174,25,2954,27348,Medio,Media,Medio,0.4,0.5,0.1
175,47,5388,203532,Corto,Alta,Medio,0.3,0.5,0.2
176,47,3132,206815,Medio,Media,Alto,0.4,0.5,0.1
177,63,2614,241638,Largo,Alta,Medio,0.2,0.5,0.3
178,63,3713,265713,Medio,Alta,Medio,0.2,0.55,0.25
179,39,4006,95288,Medio,Baja,Medio,0.6,0.3,0.1
180,49,4142,305309,Largo,Alta,Alto,0.2,0.5,0.3
181,30,1883,46806,Corto,Media,Medio,0.45,0.45,0.1
182,47,4100,216642,Medio,Alta,Alto,0.2,0.55,0.25
183,44,2880,217150,Medio,Alta,Medio,0.2,0.55,0.25
184,58,4196,217206,Largo,Baja,Bajo,0.5,0.35,0.15
185,52,4442,155048,Corto,Alta,Alto,0.3,0.5,0.2
186,20,1770,5000,Medio,Alta,Alto,0.2,0.55,0.25
187,46,3781,195713,Largo,Media,Alto,0.3,0.55,0.15
188,32,2387,63416,Medio,Baja,Medio,0.6,0.3,0.1
189,60,3708,275859,Largo,Baja,Bajo,0.5,0.35,0.15
190,22,2402,13172,Corto,Baja,Medio,0.65,0.25,0.1
191,58,3093,147272,Corto,Alta,Alto,0.3,0.5,0.2
192,25,3169,49503,Corto,Baja,Medio,0.65,0.25,0.1
193,27,2652,38437,Corto,Alta,Alto,0.3,0.5,0.2
194,46,3572,250292,Medio,Alta,Alto,0.2,0.55,0.25
195,28,2863,53170,Medio,Media,Medio,0.4,0.5,0.1
196,56,3060,251483,Corto,Media,Alto,0.45,0.45,0.1
197,52,3751,282679,Corto,Media,Alto,0.45,0.45,0.1
198,61,2951,275085,Corto,Media,Alto,0.45,0.45,0.1
199,63,5060,519911,Medio,Media,Medio,0.4,0.5,0.1
200,43,3774,245678,Corto,Alta,Medio,0.3,0.5,0.2
201,34,2567,78070,Corto,Alta,Alto,0.3,0.5,0.2
202,51,4327,327330,Corto,Baja,Medio,0.65,0.25,0.1
203,51,4082,247780,Largo,Alta,Medio,0.2,0.5,0.3
204,43,3603,240128,Corto,Alta,Medio,0.3,0.5,0.2
205,60,4159,265868,Largo,Media,Medio,0.3,0.55,0.15
206,68,2879,425886,Largo,Alta,Alto,0.2,0.5,0.3
207,68,2235,212063,Corto,Media,Medio,0.45,0.45,0.1
208,31,2629,34182,Largo,Baja,Medio,0.5,0.35,0.15
209,58,3567,282399,Corto,Baja,Bajo,0.65,0.25,0.1
210,21,1316,5000,Medio,Alta,Alto,0.2,0.55,0.25
211,22,1578,9800,Medio,Baja,Medio,0.6,0.3,0.1
212,68,3183,245844,Medio,Alta,Medio,0.2,0.55,0.25
213,56,4847,303446,Medio,Baja,Bajo,0.6,0.3,0.1
214,68,2375,98796,Largo,Media,Medio,0.3,0.55,0.15
215,36,4134,116767,Corto,Media,Alto,0.45,0.45,0.1
216,68,2656,69595,Corto,Media,Alto,0.45,0.45,0.1
217,21,3110,5000,Corto,Media,Medio,0.45,0.45,0.1
218,21,2457,8992,Medio,Alta,Alto,0.2,0.55,0.25
219,47,4071,273971,Medio,Baja,Medio,0.6,0.3,0.1
220,42,3113,156420,Corto,Alta,Alto,0.3,0.5,0.2
221,56,2679,137465,Medio,Media,Medio,0.4,0.5,0.1
222,51,4319,265562,Corto,Alta,Medio,0.3,0.5,0.2
223,52,3599,231381,Corto,Baja,Medio,0.65,0.25,0.1
224,20,1609,5000,Corto,Alta,Alto,0.3,0.5,0.2
225,38,3319,176455,Corto,Baja,Medio,0.65,0.25,0.1
226,21,1723,6485,Corto,Alta,Alto,0.3,0.5,0.2
227,63,4875,392095,Corto,Baja,Bajo,0.65,0.25,0.1
228,45,4828,245780,Corto,Baja,Medio,0.65,0.25,0.1
229,51,4161,275789,Medio,Media,Medio,0.4,0.5,0.1
230,25,3657,15445,Corto,Baja,Medio,0.65,0.25,0.1
231,51,4225,244012,Corto,Media,Alto,0.45,0.45,0.1
232,23,1796,9914,Medio,Media,Medio,0.4,0.5,0.1
233,30,3678,53514,Medio,Media,Alto,0.4,0.5,0.1
234,36,4109,122958,Medio,Alta,Alto,0.2,0.55,0.25
235,57,3059,349670,Corto,Alta,Medio,0.3,0.5,0.2
236,43,3623,201031,Largo,Alta,Medio,0.2,0.5,0.3
237,24,1791,13238,Largo,Alta,Alto,0.2,0.5,0.3
238,53,3130,243312,Medio,Baja,Medio,0.6,0.3,0.1
239,25,3380,52308,Largo,Baja,Medio,0.5,0.35,0.15
240,41,5023,273207,Medio,Alta,Alto,0.2,0.55,0.25
241,30,2217,46938,Corto,Baja,Medio,0.65,0.25,0.1
242,67,2781,210812,Largo,Baja,Bajo,0.5,0.35,0.15
243,35,3316,123125,Corto,Media,Alto,0.45,0.45,0.1
244,52,3801,273510,Largo,Media,Medio,0.3,0.55,0.15
245,28,2620,55969,Corto,Media,Medio,0.45,0.45,0.1
246,25,2485,32247,Largo,Media,Medio,0.3,0.55,0.15
247,35,3782,152665,Corto,Baja,Medio,0.65,0.25,0.1
248,48,3543,167858,Corto,Alta,Medio,0.3,0.5,0.2
249,22,2173,15037,Largo,Baja,Medio,0.5,0.35,0.15
250,39,3717,152060,Corto,Baja,Medio,0.65,0.25,0.1
251,55,3591,409615,Corto,Baja,Medio,0.65,0.25,0.1
252,38,3145,91407,Corto,Media,Alto,0.45,0.45,0.1
253,45,3734,286770,Largo,Media,Medio,0.3,0.55,0.15
254,22,2335,12269,Largo,Media,Alto,0.3,0.55,0.15
255,38,4084,120394,Corto,Alta,Alto,0.3,0.5,0.2
256,39,3098,102276,Corto,Baja,Alto,0.65,0.25,0.1
257,51,4241,239128,Largo,Alta,Medio,0.2,0.5,0.3
258,26,3292,47796,Largo,Media,Alto,0.3,0.55,0.15
259,60,2637,244659,Corto,Alta,Medio,0.3,0.5,0.2
260,52,4574,243716,Corto,Baja,Medio,0.65,0.25,0.1
261,59,3308,256861,Corto,Baja,Bajo,0.65,0.25,0.1
262,58,4130,517232,Medio,Media,Medio,0.4,0.5,0.1
263,37,3241,170551,Largo,Media,Alto,0.3,0.55,0.15
264,59,2547,225304,Medio,Alta,Medio,0.2,0.55,0.25
265,20,1541,5000,Largo,Media,Alto,0.3,0.55,0.15
266,30,2941,63375,Largo,Media,Medio,0.3,0.55,0.15
267,47,4361,281213,Largo,Baja,Alto,0.5,0.35,0.15
268,44,3147,105840,Largo,Media,Alto,0.3,0.55,0.15
269,69,2819,254983,Largo,Media,Medio,0.3,0.55,0.15
270,42,2642,58796,Largo,Baja,Alto,0.5,0.35,0.15
271,50,4117,278448,Largo,Baja,Medio,0.5,0.35,0.15
272,49,3258,227287,Medio,Alta,Medio,0.2,0.55,0.25
273,61,3315,232936,Corto,Media,Medio,0.45,0.45,0.1
274,54,4202,422638,Corto,Baja,Medio,0.65,0.25,0.1
275,26,2486,20245,Medio,Alta,Alto,0.2,0.55,0.25
276,35,3494,60142,Medio,Alta,Medio,0.2,0.55,0.25
277,45,4921,265244,Medio,Media,Medio,0.4,0.5,0.1
278,67,2212,273418,Medio,Media,Medio,0.4,0.5,0.1
279,68,2918,421818,Largo,Alta,Alto,0.2,0.5,0.3
280,21,1707,5000,Corto,Baja,Alto,0.65,0.25,0.1
281,20,2260,5000,Largo,Alta,Alto,0.2,0.5,0.3
282,67,3221,299467,Corto,Media,Alto,0.45,0.45,0.1
283,31,1681,36310,Corto,Baja,Alto,0.65,0.25,0.1
284,24,1818,20515,Medio,Baja,Alto,0.6,0.3,0.1
285,56,4135,357367,Largo,Alta,Medio,0.2,0.5,0.3
286,51,4014,131977,Medio,Media,Medio,0.4,0.5,0.1
287,28,3102,75376,Largo,Alta,Alto,0.2,0.5,0.3
288,60,3347,379566,Corto,Alta,Alto,0.3,0.5,0.2
289,54,4232,234869,Medio,Alta,Medio,0.2,0.55,0.25
290,38,3646,149451,Medio,Baja,Medio,0.6,0.3,0.1
291,67,3084,333073,Corto,Baja,Bajo,0.65,0.25,0.1
292,35,3920,129755,Corto,Media,Medio,0.45,0.45,0.1
293,22,2196,9093,Corto,Media,Medio,0.45,0.45,0.1
294,39,3475,107164,Medio,Alta,Medio,0.2,0.55,0.25
295,43,3425,158177,Largo,Alta,Medio,0.2,0.5,0.3
296,52,3842,334265,Medio,Alta,Medio,0.2,0.55,0.25
297,43,4013,217222,Largo,Media,Medio,0.3,0.55,0.15
298,30,2706,50026,Medio,Baja,Medio,0.6,0.3,0.1
299,68,2645,312835,Medio,Baja,Bajo,0.6,0.3,0.1
300,27,3954,8545,Corto,Alta,Alto,0.3,0.5,0.2
301,55,4331,409398,Largo,Alta,Medio,0.2,0.5,0.3
302,57,3533,125430,Medio,Alta,Alto,0.2,0.55,0.25
303,59,4551,317272,Medio,Alta,Medio,0.2,0.55,0.25
304,39,3478,89202,Corto,Media,Medio,0.45,0.45,0.1
305,54,2638,110226,Corto,Baja,Alto,0.65,0.25,0.1
306,67,1996,253125,Largo,Alta,Medio,0.2,0.5,0.3
307,44,2503,104405,Medio,Media,Medio,0.4,0.5,0.1
308,54,3903,294371,Largo,Alta,Medio,0.2,0.5,0.3
309,44,3762,179962,Medio,Alta,Alto,0.2,0.55,0.25
310,48,5424,349941,Largo,Baja,Medio,0.5,0.35,0.15
311,37,3968,140700,Corto,Alta,Medio,0.3,0.5,0.2
312,65,2390,132455,Medio,Baja,Bajo,0.6,0.3,0.1
313,37,4303,193717,Largo,Baja,Alto,0.5,0.35,0.15
314,21,1346,5000,Corto,Baja,Medio,0.65,0.25,0.1
315,54,4343,158155,Corto,Media,Medio,0.45,0.45,0.1
316,35,4264,114092,Largo,Media,Medio,0.3,0.55,0.15
317,60,2764,321476,Medio,Baja,Bajo,0.6,0.3,0.1
318,55,4513,398187,Medio,Alta,Medio,0.2,0.55,0.25
319,52,4421,254774,Corto,Baja,Medio,0.65,0.25,0.1
320,23,1945,12083,Medio,Alta,Alto,0.2,0.55,0.25
321,52,4641,269873,Medio,Baja,Medio,0.6,0.3,0.1
322,33,4052,175855,Medio,Alta,Alto,0.2,0.55,0.25
323,40,3871,175170,Corto,Media,Alto,0.45,0.45,0.1
324,67,2624,278655,Largo,Alta,Medio,0.2,0.5,0.3
325,39,3444,174117,Medio,Baja,Medio,0.6,0.3,0.1
326,27,2492,39683,Corto,Media,Medio,0.45,0.45,0.1
327,26,3332,39581,Corto,Alta,Alto,0.3,0.5,0.2
328,22,1798,8392,Largo,Alta,Alto,0.2,0.5,0.3
329,36,3798,121452,Medio,Alta,Medio,0.2,0.55,0.25
330,52,3808,242346,Medio,Alta,Medio,0.2,0.55,0.25
331,67,2739,313868,Largo,Alta,Alto,0.2,0.5,0.3
332,31,3083,71325,Largo,Media,Medio,0.3,0.55,0.15
333,41,4442,230711,Corto,Media,Alto,0.45,0.45,0.1
334,41,3410,141681,Corto,Media,Alto,0.45,0.45,0.1
335,65,2365,218113,Largo,Media,Medio,0.3,0.55,0.15
336,49,3433,80330,Medio,Baja,Alto,0.6,0.3,0.1
337,57,3454,327003,Corto,Media,Medio,0.45,0.45,0.1
338,57,4002,328080,Corto,Alta,Medio,0.3,0.5,0.2
339,64,4255,487211,Medio,Alta,Medio,0.2,0.55,0.25
340,27,2456,5000,Corto,Media,Medio,0.45,0.45,0.1
341,46,4819,411346,Medio,Alta,Medio,0.2,0.55,0.25
342,46,5183,260613,Medio,Media,Medio,0.4,0.5,0.1
343,53,4477,395744,Medio,Alta,Medio,0.2,0.55,0.25
344,40,5001,139697,Largo,Baja,Medio,0.5,0.35,0.15
345,49,3586,248005,Largo,Baja,Medio,0.5,0.35,0.15
346,52,3233,142318,Largo,Media,Alto,0.3,0.55,0.15
347,47,2833,125413,Medio,Media,Alto,0.4,0.5,0.1
348,66,3248,470808,Medio,Media,Medio,0.4,0.5,0.1
349,52,4657,282578,Largo,Alta,Medio,0.2,0.5,0.3
350,24,2065,19621,Corto,Media,Alto,0.45,0.45,0.1
351,67,2640,313134,Medio,Baja,Bajo,0.6,0.3,0.1
352,38,3000,126265,Corto,Alta,Alto,0.3,0.5,0.2
353,23,2899,21026,Corto,Media,Alto,0.45,0.45,0.1
354,54,4264,323212,Medio,Alta,Medio,0.2,0.55,0.25
355,68,2555,422308,Medio,Alta,Medio,0.2,0.55,0.25
356,36,4234,135975,Corto,Media,Medio,0.45,0.45,0.1
357,63,4071,371832,Corto,Alta,Medio,0.3,0.5,0.2
358,47,4335,310496,Largo,Baja,Alto,0.5,0.35,0.15
359,49,3574,278040,Largo,Baja,Alto,0.5,0.35,0.15
360,48,4520,345955,Medio,Alta,Medio,0.2,0.55,0.25
361,65,3441,369442,Largo,Media,Alto,0.3,0.55,0.15
362,25,3589,25705,Largo,Alta,Alto,0.2,0.5,0.3
363,54,5362,545845,Largo,Baja,Medio,0.5,0.35,0.15
364,60,3409,179377,Largo,Alta,Medio,0.2,0.5,0.3
365,56,3090,243622,Corto,Alta,Medio,0.3,0.5,0.2
366,43,3666,132008,Medio,Baja,Alto,0.6,0.3,0.1
367,48,4208,232929,Largo,Alta,Medio,0.2,0.5,0.3
368,68,3047,321495,Corto,Alta,Alto,0.3,0.5,0.2
369,65,1654,163392,Corto,Media,Alto,0.45,0.45,0.1
370,50,5314,361592,Corto,Media,Medio,0.45,0.45,0.1
371,54,4048,410445,Largo,Baja,Medio,0.5,0.35,0.15
372,52,3847,281280,Largo,Baja,Alto,0.5,0.35,0.15
373,40,3075,115700,Medio,Baja,Medio,0.6,0.3,0.1
374,51,2926,235314,Largo,Media,Alto,0.3,0.55,0.15
375,42,4299,259921,Largo,Baja,Alto,0.5,0.35,0.15
376,52,4222,171655,Corto,Baja,Medio,0.65,0.25,0.1
377,22,1653,9668,Medio,Baja,Medio,0.6,0.3,0.1
378,37,2887,121111,Largo,Media,Alto,0.3,0.55,0.15
379,44,3526,155809,Largo,Alta,Medio,0.2,0.5,0.3
380,61,4863,564578,Corto,Baja,Bajo,0.65,0.25,0.1
381,50,3972,229108,Corto,Alta,Medio,0.3,0.5,0.2
382,22,1582,8142,Largo,Baja,Medio,0.5,0.35,0.15
383,59,3586,265933,Medio,Alta,Medio,0.2,0.55,0.25
384,65,2364,213991,Medio,Media,Alto,0.4,0.5,0.1
385,43,1952,60968,Corto,Media,Alto,0.45,0.45,0.1
386,69,2473,137681,Corto,Baja,Bajo,0.65,0.25,0.1
387,51,3993,368232,Largo,Alta,Medio,0.2,0.5,0.3
388,66,2848,195610,Corto,Media,Medio,0.45,0.45,0.1
389,41,4983,149071,Largo,Baja,Medio,0.5,0.35,0.15
390,42,4501,70996,Medio,Baja,Alto,0.6,0.3,0.1
391,21,1994,5000,Medio,Media,Medio,0.4,0.5,0.1
392,46,3337,105613,Largo,Media,Medio,0.3,0.55,0.15
393,61,5466,670471,Corto,Baja,Bajo,0.65,0.25,0.1
394,21,2103,8165,Medio,Alta,Alto,0.2,0.55,0.25
395,45,4177,167391,Corto,Alta,Medio,0.3,0.5,0.2
396,36,3734,204484,Medio,Alta,Medio,0.2,0.55,0.25
397,59,3882,393083,Largo,Baja,Bajo,0.5,0.35,0.15
398,52,4058,235721,Largo,Media,Alto,0.3,0.55,0.15
399,28,2630,11080,Largo,Baja,Medio,0.5,0.35,0.15
400,62,3385,480675,Medio,Media,Medio,0.4,0.5,0.1
401,67,2484,136245,Corto,Alta,Medio,0.3,0.5,0.2
402,58,3388,130798,Corto,Alta,Alto,0.3,0.5,0.2
403,48,3632,267875,Corto,Media,Medio,0.45,0.45,0.1
404,61,3821,543841,Medio,Media,Medio,0.4,0.5,0.1
405,45,3975,284100,Medio,Baja,Medio,0.6,0.3,0.1
406,54,5295,422953,Medio,Alta,Alto,0.2,0.55,0.25
407,69,1250,144386,Medio,Baja,Bajo,0.6,0.3,0.1
408,44,4478,272899,Medio,Baja,Medio,0.6,0.3,0.1
409,43,4581,261740,Corto,Baja,Medio,0.65,0.25,0.1
410,32,1880,50475,Medio,Alta,Alto,0.2,0.55,0.25
